ID;Title;Price;Postage;Sell_Date;Location;Condition;Product_Type;Product_Line;Brand;Screen_Size;Screen_Resolution;Storage_Type;Storage_Capacity;Model;Operating_System;Operating_System_Edition;RAM_Memory;Processor;Processor_Speed;Seller;Seller_Notes;URL
1;Dell Latitude E7240 i7 vPro 16GB RAM 128GB SSD;199.99;;06-Jun 15:01;London, United Kingdom;Used;Ultrabook;;Dell;12.5 in;;SSD (Solid State Drive);;Dell Latitude E7240;Windows 10 Pro;;16 GB;Intel Core i7 4th Gen.;2.70 GHz;rbo-85;;https://www.ebay.co.uk/itm/Dell-Latitude-E7240-i7-vPro-16GB-RAM-128GB-SSD-/124197537056?hash=item1ceac00520%3Ag%3Ay3wAAOSwOvZe2VFm&nma=true&si=g1AeayKqmUv8eO1KgNKgKbybiC4%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
2;Razer Blade Advanced 2018 15.6 inch, i7-8750H, 16GB Ram, 256GB M2 SSD, GTX1060;1000.00;;06-Jun 15:01;Helston, United Kingdom;Manufacturer refurbished;Notebook/Laptop;;Razer;15.6 in;;SSD (Solid State Drive);;Razer Blade;Windows 10;Home;16 GB;Intel Core i7 8th Gen.;;willia43;;https://www.ebay.co.uk/itm/Razer-Blade-Advanced-2018-15-6-inch-i7-8750H-16GB-Ram-256GB-M2-SSD-GTX1060-/114250663650?epid=5025994020&hash=item1a99dec6e2%3Ag%3AwMUAAOSwDAxe25DA&nma=true&si=K%252F6NuQZHGN6VuTgUUU1iGiNYmK0%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
3;"Razer Blade 14 "" 256GB SDD Intel I7-7700HQ 2.8GHZ 16GB RAM Gaming Laptop";950.00;50.24;06-Jun 15:01;Wilmslow, United Kingdom;Used;Notebook/Laptop;;Razer;14 in;1920 x 1080;;;Razer Blade;Windows 10;;16 GB;Intel Core i7 7th Gen., Intel Core i7 1st Gen.;2.8 GHz;maggie89081;;https://www.ebay.co.uk/itm/Razer-Blade-14-034-256GB-SDD-Intel-I7-7700HQ-2-8GHZ-16GB-RAM-Gaming-Laptop-/203002419387?epid=22002960897&hash=item2f43e318bb%3Ag%3A2NAAAOSwxOJezL%7Ei&nma=true&si=KFjdbkDIuaehUH27SrTO5RdSLtw%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
4;"HP ZBook 15 Core i7-4800QM 2.7Ghz 16GB 512GB SSD 15.6"" Quadro Win-10 Laptop";315.00;22.36;06-Jun 15:01;Leigh-on-sea, Essex, United Kingdom;Seller refurbished;Laptop;Zbook;HP;"15.6""";;SSD (Solid State Drive);;zbook 15;Windows 10 professional;;16GB;Intel Core i7;2.7GHz;tecuk;Perfect working order, Good used condition;https://www.ebay.co.uk/itm/HP-ZBook-15-Core-i7-4800QM-2-7Ghz-16GB-512GB-SSD-15-6-034-Quadro-Win-10-Laptop-/274387481528?hash=item3fe2c4b3b8%3Ag%3AKNYAAOSwrCZbDWT%7E&nma=true&si=lotoZl80%252Fk9%252BdpNSepYi8TL4lTI%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
5;alienware r4 17 i7-7700hq 16gb geforce 1060 6gb ssd 256 hdd 1tb silver-black;850.00;;06-Jun 15:01;Nuneaton, United Kingdom;Used;Gaming Laptop;;Alienware;17.3 in;1920 x 1080;HDD + SSD;;Alienware 17 R4;Windows 10;;16 GB;Intel Core i7 7th Gen.;2.80 GHz;svetlozaminche-0;;https://www.ebay.co.uk/itm/alienware-r4-17-i7-7700hq-16gb-geforce-1060-6gb-ssd-256-hdd-1tb-silver-black-/392827072548?hash=item5b76517024%3Ag%3AfF4AAOSwqShe2n31&nma=true&si=rS9BRs6blMllxSHswnVSHzc92eo%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
6;"Lenovo ThinkPad X1 Carbon (7th Gen) 14"" UHD 4K Laptop, i7-8565U 16GB 512GB, W10P";1399.00;49.99;06-Jun 15:01;Princes Risborough, United Kingdom;New;Ultrabook;;Lenovo;14 in;3840 x 2160;SSD (Solid State Drive);;Lenovo ThinkPad X1;Windows 10 Pro;;16 GB;Intel Core i7 8th Gen.;1.80 GHz;bass-technology;;https://www.ebay.co.uk/itm/Lenovo-ThinkPad-X1-Carbon-7th-Gen-14-UHD-4K-Laptop-i7-8565U-16GB-512GB-W10P/133404229850?hash=item1f0f8300da:g:SPwAAOSw6xZeo13j
7;"HP ZBook 15 Core i7-4800QM 2.7Ghz 16GB 1TB HDD 15.6"" Quadro Win-10 Laptop";315.00;22.36;06-Jun 15:01;Leigh-on-sea, Essex, United Kingdom;Seller refurbished;Laptop;Zbook;HP;"15.6""";;HDD (Hard Disk Drive);;zbook 15;Windows 10 professional;;16GB;Intel Core i7;2.7GHz;tecuk;Perfect working order, Good used condition;https://www.ebay.co.uk/itm/HP-ZBook-15-Core-i7-4800QM-2-7Ghz-16GB-1TB-HDD-15-6-034-Quadro-Win-10-Laptop-/303588127809?hash=item46af433441%3Ag%3AKNYAAOSwrCZbDWT%7E&nma=true&si=xaiQQhECrc20DyYoJIPYLNsfido%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
8;HP EliteBook x360 1030 G2 Laptop 13.3 FHD Touch, i7-7600U, 16GB RAM, 256GB SSD;679.95;29.95;06-Jun 15:01;Liverpool, United Kingdom;Opened - never used;Convertible 2-in-1 Laptop/Tablet;;HP;13.3 in;1920 x 1080;SSD (Solid State Drive);256GB;HP EliteBook x360 1030 G2;Windows 10;Professional;16 GB;Intel Core i7 7th Gen.;3.90 GHz;the-tech-saver;In excellent condition top spec model and with long HP warranty !;https://www.ebay.co.uk/itm/HP-EliteBook-x360-1030-G2-Laptop-13-3-FHD-Touch-i7-7600U-16GB-RAM-256GB-SSD-/333617572753?hash=item4dad282b91%3Ag%3AmdoAAOSwNpZe2Qn1&nma=true&si=HCYLGX7K%252B4aFw9BbSq8U%252BH%252B2qeQ%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
9;"HP EliteBook 840 G6 Laptop 14"" FHD, intel i7 8565U, 16GB RAM, 256GB SSD";749.95;29.95;06-Jun 15:01;Liverpool, United Kingdom;Opened - never used;Notebook/Laptop;;HP;14 in;1920 x 1080;SSD (Solid State Drive);256 GB;HP EliteBook 840 G6;Windows 10;Professional;16 GB;Intel Core i7 8th Gen.;4.60 GHz;the-tech-saver;Fantastic machine with huge power and a long HP warranty !;https://www.ebay.co.uk/itm/HP-EliteBook-840-G6-Laptop-14-034-FHD-intel-i7-8565U-16GB-RAM-256GB-SSD-/333609513198?epid=17034193987&hash=item4dacad30ee%3Ag%3ACqMAAOSw1p1eLMaT&nma=true&si=SXlkxy4%252FkqbyjD7YOwk9l9cpF%252F0%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
10;"HP EliteBook 840 G6 14"" FHD i7-8665U -16gb ram - 512gb ssd - sureview - Ref-1";750.00;;06-Jun 15:01;London /Paddington, London, United Kingdom;New;Notebook/Laptop;;HP;14 in;;;;Hp Elitebook 840;Windows 10;;16 GB;Intel Core i7 8th Gen.;;hussainsid;;https://www.ebay.co.uk/itm/HP-EliteBook-840-G6-14-034-FHD-i7-8665U-16gb-ram-512gb-ssd-sureview-Ref-1-/203008383091?hash=item2f443e1873%3Ag%3AjgIAAOSwriZe2oSL&nma=true&si=7yp6mNU7gNiGqAByqzztxBAZajA%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
11;Microsoft 13.5 Inch 512 GB SSD Intel Core I7 16 GB RAM Laptop - JKR-00038;999.00;35.14;06-Jun 15:01;Manchester, United Kingdom;New;Notebook/Laptop;;Microsoft;13.5 in;2256x1504 PixelSense Touchscreen;SSD (Solid State Drive);;JKR-00038;Windows 10;;16 GB;Intel Core i7 7th Gen.;2500 MHz;buksterdeals;;https://www.ebay.co.uk/itm/Microsoft-13-5-Inch-512-GB-SSD-Intel-Core-I7-16-GB-RAM-Laptop-JKR-00038/163963744032?epid=18034687508&hash=item262d002f20:g:enUAAOSw6IJd3p~z
12;Dell Latitude E5550 i7-5600U @ 2.60GHz 16GB RAM 512GB SSD Touchscreen;350.00;29.36;06-Jun 15:01;Didcot, Oxfordshire, United Kingdom;Used;Notebook/Laptop;;Dell;15.6 in;1920 x 1080;SSD (Solid State Drive);;Dell Latitude E5550;Windows 10 Pro;;16 GB;Intel Core i7 5th Gen.;2.60 GHz;trustbyte-hw;The laptop has been previously used and is in very good condition. It has one single scratch near the touchpad(left side). Please see the pictures for it.;https://www.ebay.co.uk/itm/Dell-Latitude-E5550-i7-5600U-2-60GHz-16GB-RAM-512GB-SSD-Touchscreen-/373069958132?hash=item56dcb3cbf4%3Ag%3AGZgAAOSwXGVe07w5&nma=true&si=zUPGvxdwXaxPyy%252BTxqA1fbUA2%252Fo%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
13;Dell Inspiron 17 7746,Core i7-5500U,512 SSD,16GB RAM,Office16,Nvidea,Touchscreen;499.00;30.78;06-Jun 15:01;BIRMINGHAM, West Midlands, United Kingdom;Seller refurbished;17 7746;;Dell;17.3 in;1920 x 1080;SSD (Solid State Drive);;Inspiron;Windows 10 Pro;;16 GB;Intel Core i7 5th Gen.;240 MHz;express-wholesale;;https://www.ebay.co.uk/itm/Dell-Inspiron-17-7746-Core-i7-5500U-512-SSD-16GB-RAM-Office16-Nvidea-Touchscreen-/174301902439?hash=item289533f667%3Ag%3A3ogAAOSwCdRey8hu&nma=true&si=cmbf25Z68hnSOb3s81WR5u3ea9U%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
14;"HP EliteBook x360 1030 G3 Core i7-8650U 16Gb 256Gb SSD 13.3"" Touchscreen Tablet";1299.00;35.00;06-Jun 15:01;Southampton, United Kingdom;Opened - never used;Notebook/Laptop;HP EliteBook x360 1030 G3;HP;13.3 in;;;;HP EliteBook x360 1030 G3;Windows 10;;16 GB;Intel Core i7 8th Gen.;;umlunguu;3 year HP warranty;https://www.ebay.co.uk/itm/HP-EliteBook-x360-1030-G3-Core-i7-8650U-16Gb-256Gb-SSD-13-3-Touchscreen-Tablet/124167346153?hash=item1ce8f357e9:g:kbQAAOSwfdhd96-E
15;Dell XPS 9570, 8th Gen i7-8750H, 16GB RAM, 512GB SSD, UHD Touchscreen, GTX 1050;1045.00;;06-Jun 15:01;Copthorne, West Sussex, United Kingdom;Seller refurbished;;;Dell;15.6 in;;SSD (Solid State Drive);;Dell XPS 15 9570;Windows 10;;16 GB;Intel Core i7 8th Gen.;4.10 GHz;de_kid007;;https://www.ebay.co.uk/itm/Dell-XPS-9570-8th-Gen-i7-8750H-16GB-RAM-512GB-SSD-UHD-Touchscreen-GTX-1050-/402272863244?hash=item5da954c40c%3Ag%3AxXgAAOSwSQxeymBX&nma=true&si=gC0K9BizmIw%252BDzWw78lqiz6nD2o%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
16;ThinkPad X1 Yoga i7-6600U 16GB 512GB SSD FHD Touchscreen Win 10 laptop Grade B;579.95;27.17;06-Jun 15:01;Liverpool, United Kingdom;Seller refurbished;Convertible 2-in-1 Laptop/Tablet;;Lenovo;14 in;;SSD (Solid State Drive);;X1 Yoga;Windows 10;;16 GB;Intel Core i7 6th Gen.;up to 3.4 GHz;carbon.i.t.sales;Excellent ex-corporate Laptops. fully working & tested to rule out future failures. Fully installed with GENUINE Windows 10 pro 64bit . UK charger included. Battery tested & working. 12 Month WARRANTY*. Ready for you to take out of the box and use right away! Grade B cosmetic condition. they do have cosmetic marks from use on the body casing, keys and screen scuffs & possible pressure marks on screen please refer to the pictures hard to see unless using a white background no effect on the performance of the laptop. All our items are sent out in highly protective packaging.;https://www.ebay.co.uk/itm/ThinkPad-X1-Yoga-i7-6600U-16GB-512GB-SSD-FHD-Touchscreen-Win-10-laptop-Grade-B/223631654968?epid=2289779162&hash=item34117c4038:g:9ooAAOSwui9dXWdE
17;"Alienware 15 R2 15.6"" (1TB, Intel Core i7 6th Gen., 2.60GHz, 16GB) - NOT WORKING";340.00;;06-Jun 15:01;Crewe, United Kingdom;For parts or not working;Gaming Laptop;;Alienware;15.6 in;1920 x 1080;HDD (Hard Disk Drive);;Alienware 15 R2;Windows 10;;16 GB;Intel Core i7 6th Gen.;2.60 GHz;gazz1e;Battery does not work. Fault on motherboard.;https://www.ebay.co.uk/itm/Alienware-15-R2-15-6-034-1TB-Intel-Core-i7-6th-Gen-2-60GHz-16GB-NOT-WORKING-/153943364229?hash=item23d7bd5285%3Ag%3AcbAAAOSwXQReyDrs&nma=true&si=v7lxT76S2vChWbudP2Q91jQm1kQ%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
18;Lenovo ThinkPad P53 Laptop: Core i7-9750H 16GB RAM, Quadro T2000, 256GB Warranty;1439.00;43.74;06-Jun 15:01;Alsager, Cheshire, United Kingdom;Seller refurbished;Notebook/Laptop;;Lenovo;"15.6""";1920 x 1080;SSD (Solid State Drive);256 GB;Lenovo ThinkPad P53;Windows 10;Professional;16 GB;Intel Core i7 9th Gen.;2.60 GHz;cruisetechstore;A like-new condition workstation (photos are from the listed unit). Sold on VAT Margin scheme (VAT cannot be claimed back). In a very good condition overall, was unsealed recently (may have some very small wears/marks, we've noticed much). The screen looks good. The large battery has a high/near full % of the designed charge (HWMonitor estimation only). It has a 12-month warranty with us. May have remaining Lenovo warranty** (serial number shows 2023 warranty, usually EU wide & local response level may vary, see photo 5). It comes with the charger in a secure, repacked box.;https://www.ebay.co.uk/itm/Lenovo-ThinkPad-P53-Laptop-Core-i7-9750H-16GB-RAM-Quadro-T2000-256GB-Warranty/324120993942?hash=item4b771de096:g:aYMAAOSwU09ehMqr
19;"For 7855colin - HP EliteBook 840 G5 14"" Laptop i7 8th Gen 16GB RAM 512GB SSD W10";760.00;30.67;06-Jun 15:01;London, United Kingdom;Seller refurbished;Notebook/Laptop;EliteBook;HP;14 in;;SSD (Solid State Drive);;;Windows 10;Professional;16 GB;Intel Core i7 8th Gen.;;jelibean-inc;;https://www.ebay.co.uk/itm/For-7855colin-HP-EliteBook-840-G5-14-034-Laptop-i7-8th-Gen-16GB-RAM-512GB-SSD-W10-/143614048463?hash=item21701078cf%3Ag%3AVOcAAOSwI4Ve2o8t&nma=true&si=73tz5edjAhJ%252F4zrAmow9Phezgto%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
20;"Lenovo ThinkPad T470S 14"" Laptop - i7 -7600u , 16GB RAM 512GB SSD Win 10 IPS";549.99;27.11;06-Jun 15:01;stourbridge, United Kingdom;Seller refurbished;Notebook/Laptop;;Lenovo;14 in;1920 x 1080;SSD (Solid State Drive);;Lenovo ThinkPad T470S;Windows 10;;8 GB;Intel Core i7 7th Gen.;2.8 GHz;compuclear;In excellent condition all round with little signs of use commensurate with a used item. Fully refurbished and ready to use. Charger included.;https://www.ebay.co.uk/itm/Lenovo-ThinkPad-T470S-14-Laptop-i7-7600u-16GB-RAM-512GB-SSD-Win-10-IPS/224032053866?hash=item342959da6a:g:zVYAAOSw3e1e1jbl
21;"Razer Blade 15 Gaming Laptop i7-9750H 16GB 256GB SSD 15.6"" FHD 240Hz RTX2070 8GB";1999.99;;06-Jun 15:01;Manchester, United Kingdom;New;Gaming Laptop;;Razer;"15.6""";1920 x 1080;SSD (Solid State Drive);;Blade 15;Windows 10;;16 GB;Intel Core i7 9th Gen.;2.60GHz;callumm789;;https://www.ebay.co.uk/itm/Razer-Blade-15-Gaming-Laptop-i7-9750H-16GB-256GB-SSD-15-6-034-FHD-240Hz-RTX2070-8GB-/303579081489?hash=item46aeb92b11%3Ag%3AGnAAAOSwafZeyD73&nma=true&si=0ohaQlgYwPbcu82gEID1FArwNMs%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
22;"Lenovo IdeaPad 330-15ICH Laptop 15.6"" FHD, i7-8750H, 12GB RAM, SSD+HDD, GTX 1050";649.95;29.95;06-Jun 15:01;Liverpool, United Kingdom;New;Notebook/Laptop;;Lenovo;15.6 in;1920 x 1080;HDD (Hard Disk Drive);;Lenovo IdeaPad 330;Windows 10;Home;4 GB;Intel Core i7 8th Gen.;2.20 GHz;the-tech-saver;;https://www.ebay.co.uk/itm/Lenovo-IdeaPad-330-15ICH-Laptop-15-6-FHD-i7-8750H-12GB-RAM-SSD-HDD-GTX-1050/333602993776?hash=item4dac49b670:g:MsYAAOSwUI5ehj~C
23;ASUS ZenBook Duo UX481 14” Laptop - Intel® Core™ i7, 512 GB SSD, Blue - Currys;1299.00;;06-Jun 15:01;Newark, United Kingdom;New;Notebook/Laptop;;ASUS;14 in;Full HD 1920 x 1080p;SSD (Solid State Drive);;ASUS ZenBook;Windows 10;;16 GB;Intel Core 2 Duo;1.80 GHz;Currys;;https://www.ebay.co.uk/itm/ASUS-ZenBook-Duo-UX481-14-Laptop-Intel-Core-i7-512-GB-SSD-Blue-Currys/123996880889?epid=9036118897&hash=item1cdeca3ff9:g:MScAAOSwnhFeoZVd
24;"Dell Precision M6800,i7-4800MQ, 500GB SSD + 500GB HDD,16GB RAM, ATi M6100,17""FHD";399.00;;06-Jun 15:01;Sheffield, United Kingdom;Seller refurbished;Notebook/Laptop;;Dell;17.3 in;1920 x 1080;SSD (Solid State Drive);;Dell Precision M6800;Windows 10;Professional;16 GB;Intel Core i7 4th Gen.;2.70 GHz;360vegasdemon;This machine is in beautiful condition apart from one small mark on one corner;https://www.ebay.co.uk/itm/Dell-Precision-M6800-i7-4800MQ-500GB-SSD-500GB-HDD-16GB-RAM-ATi-M6100-17-034-FHD-/193500073395?hash=item2d0d80cdb3%3Ag%3A7rMAAOSwCMxe2k3m&nma=true&si=hTL6iXMpIwxV5%252Ff8Juj%252FMevfLHo%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
25;"HP EliteBook x360 G2 13.3"" 512GB Intel Core i7 16GB Ram";550.00;;06-Jun 15:01;London, United Kingdom;Seller refurbished;;;HP;13.3 in;;;;HP EliteBook x360;;;16 GB;;;jayuk5050;"PRE-OWNED HP EliteBook x360 G2 13.3"" 512GB Intel Core i7 16GB Ram HP EliteBook x360 G2 13.3"" 512GB, Intel Core i7, 16GB Notebook/LAPTOPWindows 10 Professional Laptop (64 bit) INSTALLED AND UPGRADED TO LATEST UPDATED WINDOWS 10 64 bit OS VERSION ALL DRIVERS UP TO DATE AND WORKS PERFECTLY LIKE A DREAM Battery life around 7-9 hours with original HP charger. This has marks or scratches on casing ESPECIALLY ON THE BACK CASING AS SHOWN IN PHOTOS BUT THERE ARE NO MARKS OR SCRATCHES ON THE SCREEN AND KEYBOARD SURFACE";https://www.ebay.co.uk/itm/HP-EliteBook-x360-G2-13-3-512GB-Intel-Core-i7-16GB-Ram/254613302794?hash=item3b4822ae0a:g:k5AAAOSwkhpe08~N
26;CHEAP FAST DUAL CORE, I3 I5 I7 LAPTOP WINDOWS 7 or 10 4GB 8GB 16GB RAM SSD & HDD;79.99;17.82;06-Jun 15:01;Middlesbrough, United Kingdom;Seller refurbished;;;picked at random;"ranges between 12.5"" - 15.6""";;Choose from options;;Picked at Random based on spec;;;;;INTEL / AMD;preventronicsuk;“Image is for illustration purposes only and you will receive a laptop picked at random but will match the specification ordered. Our laptops are refurbished in house and fully tested by our experienced engineers. Item is in used condition therefore please expect general wear and tear to lid, palmrest and keyboard area. Please also expect any small dents to the lid and odd white screen blemishes. Please note the item condition does not affect he functionality of the laptop. Excellent ex business machines ideal for everyday use for Home and Work. Item is in overall Grade B condition. See item description for full details.;https://www.ebay.co.uk/itm/CHEAP-FAST-DUAL-CORE-I3-I5-I7-LAPTOP-WINDOWS-7-or-10-4GB-8GB-16GB-RAM-SSD-HDD/174262182154?hash=item2892d5e10a:m:mrpZTlu_UlLUGy9g-B7sFmA
27;Laptop Custom Alienware 13 S2 🔥 16GB Ram / SSD 250GB / i7 / NVIDIA GTX 960M;569.99;32.00;06-Jun 15:01;Kingston upon Thames, United Kingdom;Used;Notebook/Laptop;;Alienware;;;;;Alienware 13;Windows 10 Pro;;16 GB;Intel Core i7;;madaspi17;;https://www.ebay.co.uk/itm/Laptop-Custom-Alienware-13-S2-16GB-Ram-SSD-250GB-i7-NVIDIA-GTX-960M-/264746446283?hash=item3da41e2dcb%3Ag%3A4GMAAOSwAQxe0Fmp&nma=true&si=ofRidECOKcVilHuu6cf1FOTzcKY%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
28;Alienware 14 i7-4900MQ NVIDIA GeForce GTX 765M 16GB RAM 256GB SDD 750GB HDD;460.00;;06-Jun 15:01;Ilford, United Kingdom;Used;Gaming Laptop;;Alienware;;;;;Alienware 14;Windows 10 Pro;;16 GB;Intel Core i7 4th Gen.;;etswo_0;;https://www.ebay.co.uk/itm/Alienware-14-i7-4900MQ-NVIDIA-GeForce-GTX-765M-16GB-RAM-256GB-SDD-750GB-HDD-/174305277840?hash=item2895677790%3Ag%3Az54AAOSws4Re168R&nma=true&si=Kt0Pd6Jb4q2ef0lIRiYL2rY%252B4oE%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
29;Fast Lenovo Thinkpad T450 Business Laptop i7-5600U CPU 16GB RAM 512GB SSD Win 10;349.99;22.86;06-Jun 15:01;Colchester, Essex, United Kingdom;Used;Notebook/Laptop;;Lenovo;14 in;1366 x 768;SSD (Solid State Drive);;Lenovo ThinkPad T450;Windows 10 Pro;;16 GB;Intel Core i7 5th Gen.;2.60 GHz;1carefulowner;The laptop has passed Lenovo diagnostics. Fresh install of Windows 10 Pro. Windows is activated and updated. Some marks and scratches, read full description and see photos for details.;https://www.ebay.co.uk/itm/Fast-Lenovo-Thinkpad-T450-Business-Laptop-i7-5600U-CPU-16GB-RAM-512GB-SSD-Win-10-/193496337927?hash=item2d0d47ce07%3Ag%3A12sAAOSw-gBe18Zy&nma=true&si=lgRXnF%252Bs0PKqJyfL4rJ7mb28zUc%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
30;"Lenovo P50 Thinkpad Gaming Laptop i7 15.6"" 6820HQ M1000M 2.7Ghz 16GB 256GB SSD";520.00;;06-Jun 15:01;Reading, United Kingdom;Seller refurbished;Notebook/Laptop;;Lenovo;15.6 in;1920 x 1080;SSD (Solid State Drive);;Lenovo Thinkpad P50;Windows 10;;8 GB;Intel Core i7 6th Gen.;2.7 GHz;londonshop.2012;;https://www.ebay.co.uk/itm/Lenovo-P50-Thinkpad-Gaming-Laptop-i7-15-6-034-6820HQ-M1000M-2-7Ghz-16GB-256GB-SSD-/193489825441?hash=item2d0ce46ea1%3Ag%3AuuQAAOSwmkFe1pOb&nma=true&si=%252Beu84hblL90%252B6BCJ21w4XXYy4p8%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
32;Lenovo X1 Yoga 3rd Gen - i7 Vpro 8th Gen - 480Gb Nvme - 16Gb Ram;722.00;39.82;06-Jun 15:01;London, United Kingdom;Used;;;Lenovo;;;SSD (Solid State Drive);;Lenovo ThinkPad X1 Yoga;Windows 10 Pro;;;Intel Core i7 8th Gen.;;it_talluk;;https://www.ebay.co.uk/itm/Lenovo-X1-Yoga-3rd-Gen-i7-Vpro-8th-Gen-480Gb-Nvme-16Gb-Ram-/233610461228?hash=item366444c02c%3Ag%3A-iMAAOSwCMxe2lv2&nma=true&si=RiLcwMlhg%252FOItP4cBkGgKdp91Xc%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
33;Microsoft 1724 Surface Pro 4 i7-6650U @2.2 GHz 16GB 512GB B;499.99;18.00;05-Jun 02:57;Bedford, United Kingdom;Used;;;Microsoft;"12.3""";;;;1724;Windows 10 Home;;;i7-6650U;;restore-technology;No Adapter Supplied, Tested And Fully Working. May Show Signs Of Wear. Comes With A 60 Day Warranty. This item comes with no additional accessories or peripherals apart from those expressly stated above.;https://www.ebay.co.uk/itm/Microsoft-1724-Surface-Pro-4-i7-6650U-2-2-GHz-16GB-512GB-B-/383575390881?hash=item594edffaa1%3Ag%3A2GsAAOSwGypexQ37&nma=true&si=Fgq9Ruku6I12qDhh2k0VEzmbPP4%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
34;Microsoft surface book 2 i7 15;1300.00;;05-Jun 02:57;Elgin, United Kingdom;Used;Convertible 2-in-1 Laptop/Tablet;;Microsoft;15 in;;SSD (Solid State Drive);;Microsoft Surface Book 2;Windows 10 Pro;;16 GB;Intel Core i7 8th Gen.;;yoyoba1983;;https://www.ebay.co.uk/itm/Microsoft-surface-book-2-i7-15-/184312587552?hash=item2ae9e2e520%3Ag%3AB78AAOSwAWJe1CXy&nma=true&si=VCs6JaDB5IATYFu1GKn68tUEtcM%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
35;PC Specialist Clevo Gaming Laptop GTX980m i7 4720Q 16GB RAM;580.00;;05-Jun 02:57;Perth, United Kingdom;Used;Notebook/Laptop;;CLEVO;15.6 in;1920 x 1080;SSD (Solid State Drive);;Clevo;Windows 10;;16 GB;Intel i7 4720Q;3.60 GHz;br44631_drhcqp;;https://www.ebay.co.uk/itm/PC-Specialist-Clevo-Gaming-Laptop-GTX980m-i7-4720Q-16GB-RAM-/184316258308?hash=item2aea1ae804%3Ag%3ADt4AAOSwmCZe18pC&nma=true&si=ADsyEVSZ8NGCsuznKO60yMWpz7E%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
36;"MSI GE62VR 15.6"" Intel Core i7 7th Gen. 2.80GHz, 1TB HDD, 128GB SSD, 16GB RAM L…";600.00;;05-Jun 02:57;Birmingham, United Kingdom;Used;Notebook/Laptop;;MSI;15.6 in;1920 x 1080;HDD + SSD;;;Windows 10;;16 GB;Intel Core i7 7th Gen.;2.80 GHz;modme10;;https://www.ebay.co.uk/itm/MSI-GE62VR-15-6-034-Intel-Core-i7-7th-Gen-2-80GHz-1TB-HDD-128GB-SSD-16GB-RAM-L-/133428495427?epid=6011373991&hash=item1f10f54443%3Ag%3A0SsAAOSwbGZe14rG&nma=true&si=8Mkqy%252B9ytJHMH05XnhD6s%252FwxbGs%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
37;Dell Latitude 7490 14” Intel Core i7 8650U 16GB RAM 512GB SSD;579.99;;05-Jun 02:57;Peterborough, United Kingdom;Used;;;Dell;;;;;Dell Latitude 7490;;;16 GB;;;dgeltd;;https://www.ebay.co.uk/itm/Dell-Latitude-7490-14-Intel-Core-i7-8650U-16GB-RAM-512GB-SSD-/174305061639?hash=item2895642b07%3Ag%3A9rMAAOSw5Bde12pY&nma=true&si=ebl9Yo3VIBQ0nTPvB2bv5iRWCK4%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
38;HP EliteBook 840 G2 Core i7-5500U 2.4GHz 16GB 256GB SSD FHD Laptop Notebook;299.99;17.17;05-Jun 02:57;Wokingham, United Kingdom;Used;Notebook/Laptop;;HP;14 in;1920 x 1080;SSD (Solid State Drive);256GB;HP EliteBook 840 G2;Windows 10;Professional;16 GB;Intel Core i7 5th Gen.;2.4 GHz;dynamic_computingav;pre-used item, please read description in full;https://www.ebay.co.uk/itm/HP-EliteBook-840-G2-Core-i7-5500U-2-4GHz-16GB-256GB-SSD-FHD-Laptop-Notebook/283900248720?hash=item4219c60290:g:mAsAAOSwJJxdyZFx
